TOKEN               TAG                           
------------------------------------------------------------
int                 Integer Type                  
main                Main Function                 
(                   Opening Parenthesis           
)                   Closing Parenthesis           
{                   Opening Curly Brace           
int                 Integer Type                  
a                   Identifier                    
=                   Assignment Operator           
10                  Integer Literal               
,                   Comma Separator               
b                   Identifier                    
=                   Assignment Operator           
20                  Integer Literal               
;                   Statement Terminator          
printf              Print Function                
(                   Opening Parenthesis           
"sum is :%d"        String Literal                
,                   Comma Separator               
a                   Identifier                    
+                   Addition Operator             
b                   Identifier                    
)                   Closing Parenthesis           
;                   Statement Terminator          
return              Return Statement              
0                   Integer Literal               
;                   Statement Terminator          
}                   Closing Curly Brace           

TOTAL:              27
